"diagram_guid";"diagram_naam";"beleidsdomein_guid";"beleidsdomein_naam";"taakveld";"aantal_entiteiten"
"EAID_B039478A_DAF7_458f_A7C7_E4744EC08DBF";"Verkamering en Woonoverlast";"EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C";"1 Veiligheid en Vergunningen";"1 Veiligheid en Vergunningen";"35"
"EAID_72A4FC74_EE1B_4bc1_B5BB_540FCE4D04B1";"Verkeer en Vervoer: Stremmingen";"EAPK_02FD7722_6B39_4e67_A30D_D501E2716B6F";"Mobiliteit";"2 Verkeer, Vervoer en Waterstaat";"7"
"EAID_280799E6_5FC1_4cd0_90E6_F4DB9C7A78A3";"Verkeersbesluiten";"EAPK_02FD7722_6B39_4e67_A30D_D501E2716B6F";"Mobiliteit";"2 Verkeer, Vervoer en Waterstaat";"2"
"EAID_4E7479D8_ACA3_45ed_B349_24A3CC271F29";"Verplichtingen";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein";"8"
"EAID_E0AAFADA_8922_405f_A8FD_25C1A10CBA72";"Voorvoegsel referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_07334A5A_E2F0_41ce_8510_B41BAF6876BD";"Vroegsignalering";"EAPK_680EBF5D_22CC_4678_BD03_1026113302CD";"Vroegsignalering";"6 Sociaal Domein";"17"
"EAID_6D5829BF_AF12_4464_9EAD_E336DEFDF442";"Vroegsignalering Details";"EAPK_680EBF5D_22CC_4678_BD03_1026113302CD";"Vroegsignalering";"6 Sociaal Domein";"13"
"EAID_AFFABC16_BCDB_44c6_8E2F_C3D8C49884A5";"Vroegsignalering Klein";"EAPK_680EBF5D_22CC_4678_BD03_1026113302CD";"Vroegsignalering";"6 Sociaal Domein";"16"
"EAID_455B32ED_E912_4f10_B9FB_849DBC63AF2B";"WATERDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_3A41FD49_9827_4ed2_A7B6_7CD41A4A0B9B";"WEGDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"6"
"EAID_E2DAF4D1_F7DE_4ccf_8711_840894ADD54A";"WIJK";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_7091DBD3_9C0C_4245_9B81_CC5EC718E989";"WOONPLAATS";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_8312FF96_BCFE_4913_B7AB_27E9F690F89D";"WOZ-DEELOBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"6"
"EAID_4785522F_7798_4d8d_A437_48602B8ACA21";"WOZ-OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"10"
"EAID_EB7771AD_FBE8_40e5_9CD7_2C8EED4A6C33";"WOZ-WAARDE";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_5B2022A2_1DAB_476d_BBCD_CD27F56F169F";"Woningbouwprojecten";"EAPK_993A1256_FC98_487a_BAB2_EE71CAC76F98";"Bouwen en Wonen";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"13"
"EAID_A308855C_FB69_43cf_AA98_12555468AAAE";"ZAKELIJK RECHT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_962EE6F2_E53F_4156_ACAA_4D3DF5D9E814";"ZAKELIJK RECHT PERSOON";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
